COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
U.S. - NEW MEXICO,15.08,19.22,20.31,15.91,21.31,27.38,24.48,24.78,23.58,22.96,23.22,21.64,30.28,30.52,30.26,38.83,39.56,38.82,45.28,54.00,56.10,56.50,59.51,63.81,67.42
U.S. - NEW YORK,44.61,47.65,48.81,54.05,58.27,57.87,59.12,57.73,57.26,57.43,55.65,52.83,56.35,57.35,60.91,65.77,66.40,64.87,71.10,73.53,76.39,77.55,81.46,83.35,85.44
U.S. - NORTH CAROLINA,25.04,36.20,37.05,44.27,48.14,48.33,49.83,44.61,47.14,49.43,46.94,44.39,46.70,50.49,52.33,54.99,58.72,55.22,61.73,64.12,66.30,66.72,69.28,72.79,75.02
U.S. - NORTH DAKOTA,25.09,23.13,23.05,20.54,25.12,24.82,27.41,20.76,27.33,33.63,33.86,27.93,33.47,37.87,39.59,38.49,42.61,43.60,48.27,53.01,54.22,52.99,65.63,67.41,80.64
U.S. - OHIO,28.34,25.01,25.54,35.37,39.35,41.70,36.31,36.91,36.34,38.31,36.92,36.16,37.65,39.37,44.43,46.77,49.46,46.33,55.01,58.63,61.37,61.58,64.77,63.44,59.93
U.S. - OKLAHOMA,46.85,47.91,46.65,47.35,48.40,48.52,50.77,44.57,44.37,45.31,45.46,44.35,45.22,45.82,47.28,49.48,50.87,49.58,53.20,53.90,55.46,56.31,57.70,62.51,65.29
U.S. - OREGON,25.15,25.64,33.15,36.39,38.69,42.58,44.23,42.02,42.34,43.33,44.12,41.21,44.18,44.75,49.32,51.36,54.61,53.87,59.17,61.50,63.77,65.93,70.55,72.54,75.97
U.S. - PENNSYLVANIA,37.30,39.07,40.28,42.64,43.87,45.52,44.73,42.93,43.99,48.23,47.27,46.32,47.62,50.36,54.00,56.02,59.21,60.19,64.47,66.68,68.22,68.60,72.83,75.05,77.12
U.S. - RHODE ISLAND,60.28,60.01,59.53,60.94,63.78,60.74,58.93,56.62,55.85,53.32,57.43,70.07,71.27,76.81,78.60,82.58,81.63,78.04,81.37,82.01,82.64,83.15,85.63,88.74,91.41
U.S. - SOUTH CAROLINA,25.53,31.37,32.88,39.22,42.37,44.55,45.95,44.64,44.89,50.94,49.17,45.59,50.44,54.07,56.60,59.52,61.72,59.75,66.49,68.43,70.10,67.90,71.41,73.14,76.93
U.S. - SOUTH DAKOTA,21.37,21.22,23.15,22.11,36.79,27.43,25.59,23.57,34.37,49.71,46.97,41.54,42.06,45.58,51.99,54.52,58.96,58.81,66.00,65.45,68.93,63.63,72.40,77.23,81.06
U.S. - TENNESSEE,26.77,30.03,35.19,41.84,46.47,46.69,43.47,39.83,35.06,39.50,36.96,38.67,45.39,48.69,52.08,55.77,57.81,58.87,64.06,65.91,69.24,68.73,71.19,73.98,76.36
U.S. - TEXAS,24.25,27.37,28.67,30.89,36.38,36.18,36.98,34.18,34.55,39.00,40.85,41.04,42.94,45.84,47.07,50.09,52.30,48.69,55.93,56.76,61.00,61.84,64.33,68.49,74.73
U.S. - UTAH,28.63,29.84,30.01,28.62,31.20,36.13,34.11,28.64,31.81,31.34,34.83,31.38,39.31,41.69,45.28,46.51,49.84,51.73,57.28,57.48,61.89,66.12,72.63,75.02,79.11
U.S. - VERMONT,54.37,56.31,57.05,60.20,68.77,67.00,66.12,64.29,64.39,64.87,65.41,64.56,65.80,67.28,66.49,70.92,76.05,76.47,80.41,82.55,83.20,81.70,85.15,62.67,64.60
U.S. - VIRGINIA,30.11,31.90,33.94,35.10,41.67,42.24,42.71,43.03,43.50,46.39,44.84,47.84,50.79,52.42,55.30,58.71,60.27,60.34,64.47,65.78,67.45,68.67,73.69,76.56,79.80
U.S. - WASHINGTON,28.35,29.35,38.36,43.74,46.06,50.86,49.46,48.52,47.37,49.30,49.81,47.14,50.58,52.71,56.70,61.87,63.24,61.75,66.56,69.19,69.38,69.45,72.65,75.22,78.12
U.S. - WEST VIRGINIA,21.78,23.67,25.03,25.19,27.38,25.97,25.82,23.00,26.49,27.19,26.81,25.00,26.69,25.93,29.52,31.05,36.12,33.63,37.03,36.14,39.54,39.10,42.10,43.32,55.65
U.S. - WISCONSIN,33.74,30.32,33.63,38.57,42.62,44.06,42.49,38.11,41.87,49.52,47.70,47.50,49.91,51.13,54.87,55.64,57.53,55.03,60.94,60.27,63.17,63.55,67.22,68.15,74.59
U.S. - WYOMING,19.63,20.52,24.56,26.06,25.78,23.56,25.57,25.14,21.78,20.44,25.37,26.76,27.91,29.94,32.35,40.18,41.96,40.91,49.30,47.70,55.32,55.09,61.19,67.75,69.75
UKRAINE,5.03,4.37,6.41,7.56,8.33,5.81,5.66,7.04,8.52,12.10,11.71,16.55,20.64,24.81,31.35,38.59,42.70,41.34,44.36,44.97,45.65,46.72,52.58,58.18,61.88
UNITED ARAB EMIRATES,0.22,0.56,5.02,2.00,5.71,4.89,8.28,13.74,11.77,10.46,4.12,6.05,15.17,33.27,36.20,29.45,59.06,45.24,44.12,51.33,55.84,57.13,59.00,41.14,42.98
UNITED KINGDOM,13.15,11.87,10.55,12.46,15.19,15.86,20.57,18.55,20.68,29.40,28.60,30.75,29.64,36.65,42.88,49.32,49.16,50.96,58.05,56.14,61.75,64.44,69.80,74.91,77.38
UNITED STATES,32.09,33.64,35.85,38.76,42.48,42.85,42.32,40.55,40.76,43.32,43.85,42.93,45.89,47.34,49.80,52.64,55.09,54.63,60.48,62.31,64.82,65.76,69.47,71.80,74.64
URUGUAY,0.01,0.01,0.00,0.01,0.01,0.01,0.25,0.99,0.01,0.04,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.06,0.18,0.23,0.66,0.68,1.00,1.48,4.45
VENEZUELA,0.12,0.05,0.04,0.03,0.10,0.11,0.22,0.38,0.06,0.11,0.12,0.06,0.26,0.35,0.24,0.19,0.45,0.40,0.59,0.80,0.90,0.98,1.22,1.61,1.45
VIETNAM,0.69,1.01,1.13,1.46,2.12,1.66,1.55,4.15,6.09,3.66,5.77,4.16,2.25,2.99,2.80,5.64,4.23,3.09,3.69,2.98,1.17,1.85,1.45,2.41,4.06
