Fips,Year,Area,GDP,GDPGrowth,Size.of.Metro.Area,Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
46540,2012,"Utica-Rome, NY (MSA)",26866,-0.19,58.91,37949,127324,-0.78,POP,2552.685411,299401,138094,48060.4528,0.2754,0.3325,0.319,0.1243,0.0139,0.0299,0.0295
46540,2012,"Utica-Rome, NY (MSA)",26866,-0.19,58.91,37949,127324,-0.78,HU,2552.685411,299401,138094,48060.4528,0.2754,0.3325,0.319,0.1243,0.0139,0.0263,0.0258
20740,2012,"Eau Claire, WI (MSA)",36320,3.67,79.64,39138,85146,1.39,POP,1592.244184,163838,70827,49490.8602,0.2637,0.3283,0.333,0.124,0.0173,0.0759,0.0345
23540,2012,"Gainesville, FL (MSA)",33023,-1.28,72.41,38045,133216,1.08,POP,1282.685977,269475,125304,46642.4771,0.3444,0.3211,0.2484,0.124,0.0319,0.0001,0.0001
20740,2012,"Eau Claire, WI (MSA)",36320,3.67,79.64,39138,85146,1.39,HU,1592.244184,163838,70827,49490.8602,0.2637,0.3283,0.333,0.124,0.0173,0.0745,0.0369
23540,2012,"Gainesville, FL (MSA)",33023,-1.28,72.41,38045,133216,1.08,HU,1282.685977,269475,125304,46642.4771,0.3444,0.3211,0.2484,0.124,0.0319,0,0
13780,2012,"Binghamton, NY (MSA)",30422,-0.05,66.71,38365,107555,-0.67,POP,1152.636767,250639,112519,47952.5408,0.2791,0.3299,0.3099,0.1239,0.0201,0.2759,0.0711
13780,2012,"Binghamton, NY (MSA)",30422,-0.05,66.71,38365,107555,-0.67,HU,1152.636767,250639,112519,47952.5408,0.2791,0.3299,0.3099,0.1239,0.0201,0.2763,0.0564
12020,2012,"Athens-Clarke County, GA (MSA)",29253,0.25,64.15,33073,87174,0.98,POP,975.7294254,197494,84444,44890.4545,0.3406,0.307,0.2664,0.1236,0.0301,0.0003,0.0002
12020,2012,"Athens-Clarke County, GA (MSA)",29253,0.25,64.15,33073,87174,0.98,HU,975.7294254,197494,84444,44890.4545,0.3406,0.307,0.2664,0.1236,0.0301,0.0003,0.0001
18700,2011,"Corvallis, OR (MSA)",62447,-2.82,139.11,38439,38338,2.65,POP,653.7308122,86306,36512,51572.1115,0.2993,0.267,0.3096,0.105,0.0191,0.0045,0
18880,2011,"Crestview-Fort Walton Beach-Destin, FL (MSA)",42235,1.59,94.09,42246,116093,2.34,POP,1049.417092,178700,91041,55262.4729,0.2449,0.325,0.3233,0.0766,0.0302,0,0
36220,2012,"Odessa, TX (MSA)",49008,10.33,107.46,42698,74398,8.49,POP,883.1604931,141162,56122,49598.0123,0.2794,0.3086,0.3132,0.1233,0.0299,0,0
44060,2012,"Spokane-Spokane Valley, WA (MSA)",32756,1.27,71.83,36918,228453,0.81,POP,1717.350486,481709,209049,51168.4061,0.2521,0.3336,0.3222,0.1233,0.0271,0.0302,0.0002
36220,2012,"Odessa, TX (MSA)",49008,10.33,107.46,42698,74398,8.49,HU,883.1604931,141162,56122,49598.0123,0.2794,0.3086,0.3132,0.1233,0.0299,0,0
44060,2012,"Spokane-Spokane Valley, WA (MSA)",32756,1.27,71.83,36918,228453,0.81,HU,1717.350486,481709,209049,51168.4061,0.2521,0.3336,0.3222,0.1233,0.0271,0.0288,0.0003
32900,2012,"Merced, CA (MSA)",19902,1.29,43.64,30630,71592,2.94,POP,1879.451387,265086,87055,47587.2011,0.2895,0.3341,0.3,0.1231,0.0243,0.0437,0.0024
32900,2012,"Merced, CA (MSA)",19902,1.29,43.64,30630,71592,2.94,HU,1879.451387,265086,87055,47587.2011,0.2895,0.3341,0.3,0.1231,0.0243,0.0375,0.0024
22220,2012,"Fayetteville-Springdale-Rogers, AR-MO (MSA)",36375,-1.2,79.76,35977,216395,2.69,POP,3038.700485,490356,210626,49841.8497,0.2587,0.3519,0.3053,0.1224,0.0266,0.0485,0.0003
22220,2012,"Fayetteville-Springdale-Rogers, AR-MO (MSA)",36375,-1.2,79.76,35977,216395,2.69,HU,3038.700485,490356,210626,49841.8497,0.2587,0.3519,0.3053,0.1224,0.0266,0.0515,0.0002
31420,2012,"Macon, GA (MSA)",29477,0.3,64.64,36879,100902,1.22,POP,1676.057745,233120,102739,44359.5907,0.3357,0.3177,0.2742,0.1221,0.0242,0.0027,0.0003
19060,2011,"Cumberland, MD-WV (MSA)",23148,1.03,51.57,33277,40375,-0.31,POP,717.2597251,103127,46294,38636.5675,0.4125,0.3216,0.2269,0.0329,0.0062,0.0074,0.0074
31420,2012,"Macon, GA (MSA)",29477,0.3,64.64,36879,100902,1.22,HU,1676.057745,233120,102739,44359.5907,0.3357,0.3177,0.2742,0.1221,0.0242,0.0026,0.0002
19100,2011,"Dallas-Fort Worth-Arlington, TX (MSA)",54384,1.37,121.15,44628,3079344,2.62,POP,8747.931957,6525305,2558547,60584.5623,0.215,0.2804,0.3369,0.1363,0.0314,0.2258,0
19460,2012,"Decatur, AL (MSA)",27146,0.82,59.53,33127,55901,-0.1,POP,1239.353283,155235,67792,45748.0077,0.289,0.3417,0.3005,0.122,0.0129,0,0
19460,2012,"Decatur, AL (MSA)",27146,0.82,59.53,33127,55901,-0.1,HU,1239.353283,155235,67792,45748.0077,0.289,0.3417,0.3005,0.122,0.0129,0,0
29140,2012,"Lafayette-West Lafayette, IN (MSA)",37031,2.1,81.2,33822,98391,3.56,POP,1172.02235,207136,87488,46587.1249,0.2988,0.3274,0.3019,0.1219,0.0192,0.5095,0.4356
29140,2012,"Lafayette-West Lafayette, IN (MSA)",37031,2.1,81.2,33822,98391,3.56,HU,1172.02235,207136,87488,46587.1249,0.2988,0.3274,0.3019,0.1219,0.0192,0.5147,0.4454
11100,2012,"Amarillo, TX (MSA)",35331,0.6,77.47,38340,118299,0.57,POP,3549.54891,254740,105109,50404.4899,0.2741,0.3236,0.316,0.1214,0.0281,0.0769,0
11100,2012,"Amarillo, TX (MSA)",35331,0.6,77.47,38340,118299,0.57,HU,3549.54891,254740,105109,50404.4899,0.2741,0.3236,0.316,0.1214,0.0281,0.0841,0
29020,2012,"Kokomo, IN (MSA)",44294,8.34,97.13,34107,39217,2.7,POP,493.1923813,97644,45669,47915.3321,0.2591,0.3492,0.3187,0.1212,0.0153,0.528,0.528
29020,2012,"Kokomo, IN (MSA)",44294,8.34,97.13,34107,39217,2.7,HU,493.1923813,97644,45669,47915.3321,0.2591,0.3492,0.3187,0.1212,0.0153,0.566,0.566
43340,2012,"Shreveport-Bossier City, LA (MSA)",40183,-11.51,88.11,41234,201860,-1.02,POP,2597.769487,404130,174884,46806.0774,0.3161,0.3272,0.276,0.1211,0.0262,0,0
