COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
U.S. - LOUISIANA,2.55,1.46,1.04,1.18,1.83,1.89,3.16,2.12,2.23,3.08,3.42,3.28,3.36,3.37,3.30,3.85,4.15,4.05,5.79,6.04,7.33,7.72,9.43,11.10,23.58
U.S. - MAINE,2.02,2.47,2.60,2.73,3.63,3.36,4.98,4.18,4.31,4.50,5.23,5.12,6.29,6.51,6.59,6.11,6.74,8.08,11.53,11.55,12.21,12.48,13.78,12.71,26.12
U.S. - MARYLAND,4.63,5.44,5.38,7.26,8.22,6.43,7.43,7.35,5.99,7.95,7.73,6.00,6.88,6.85,7.52,11.49,11.16,12.48,23.27,26.83,28.40,30.70,38.24,39.09,51.23
U.S. - MASSACHUSETTS,5.81,5.67,6.26,7.79,10.48,8.04,9.50,9.47,8.89,9.23,10.70,8.50,10.49,10.58,10.48,10.42,16.29,16.95,23.86,29.03,31.25,32.10,42.01,41.91,54.50
U.S. - MICHIGAN,4.21,2.94,3.04,3.38,4.42,3.33,3.91,3.93,4.31,4.38,5.12,4.68,6.51,6.18,6.63,7.23,7.52,7.80,12.02,13.26,15.82,18.96,22.51,25.08,39.09
U.S. - MINNESOTA,4.41,3.77,3.39,3.82,4.57,3.96,4.92,4.69,5.07,4.97,5.78,5.44,8.03,7.17,6.77,7.25,8.04,8.25,10.71,12.23,15.71,18.06,17.99,20.04,31.90
U.S. - MISSISSIPPI,2.17,1.78,0.85,0.77,2.16,0.94,2.76,4.59,4.08,4.53,4.41,3.63,4.27,4.06,4.67,5.34,4.89,4.92,6.75,7.99,8.65,8.84,9.81,10.97,18.26
U.S. - MISSOURI,2.01,1.32,1.19,1.67,2.56,1.85,2.78,3.10,2.31,2.98,3.62,3.43,3.39,3.29,3.73,4.61,5.11,5.20,7.27,8.55,10.03,11.85,13.76,17.36,25.81
U.S. - MONTANA,3.72,2.07,1.02,2.62,3.04,2.50,3.20,2.93,2.47,2.41,4.02,3.29,3.54,3.77,4.11,3.87,4.91,4.21,8.81,10.65,11.95,11.56,13.83,14.13,19.28
U.S. - NEBRASKA,2.04,1.83,1.70,3.78,4.85,4.56,6.27,3.87,4.34,4.76,4.79,5.61,6.40,6.89,7.87,8.96,8.95,8.01,9.34,9.22,9.59,10.40,10.18,13.95,22.63
U.S. - NEVADA,6.36,5.62,4.35,4.81,5.31,7.31,13.90,8.20,8.19,11.66,9.94,9.66,10.02,12.11,11.33,12.72,13.11,12.72,16.69,18.59,19.01,19.79,20.15,21.42,30.81
U.S. - NEW HAMPSHIRE,5.22,4.57,5.88,7.61,11.81,6.95,9.92,9.11,7.26,5.13,6.93,7.67,8.14,6.25,6.21,8.38,18.48,19.96,29.37,33.36,35.48,34.06,46.51,39.84,47.93
U.S. - NEW JERSEY,6.02,5.08,5.06,6.86,7.30,5.62,8.37,6.62,5.05,7.42,6.52,5.60,6.03,6.28,6.36,8.69,10.46,10.97,22.62,28.74,29.62,33.28,41.37,40.66,53.51
U.S. - NEW MEXICO,2.98,2.18,1.57,1.65,1.86,3.52,3.45,3.22,2.84,3.44,4.08,3.56,4.85,5.02,4.67,5.65,5.56,5.35,7.79,11.85,12.38,12.27,11.70,11.11,20.15
U.S. - NEW YORK,6.07,4.81,4.78,5.50,7.97,6.95,9.73,8.79,7.54,8.11,7.68,6.24,8.04,8.12,9.37,10.64,12.23,11.53,19.20,22.61,25.42,27.76,32.98,32.12,45.26
U.S. - NORTH CAROLINA,6.75,6.00,5.93,5.65,6.45,5.89,7.08,6.38,7.16,7.85,7.91,6.01,7.26,8.59,9.18,10.14,11.96,8.90,13.06,14.32,16.17,17.62,24.20,24.75,30.11
U.S. - NORTH DAKOTA,11.60,9.61,8.97,7.49,10.19,9.22,9.99,6.78,9.51,9.48,8.64,7.04,8.93,10.02,10.21,10.00,11.30,9.26,14.20,16.38,16.96,16.02,22.92,19.76,36.42
U.S. - OHIO,2.60,2.73,2.43,2.63,3.73,3.39,3.92,3.63,3.77,3.82,3.87,3.51,4.21,4.19,4.95,5.38,6.59,5.71,9.43,10.71,12.25,12.24,22.29,23.26,22.23
U.S. - OKLAHOMA,6.52,7.30,6.22,6.05,7.08,7.94,11.80,7.44,7.07,7.48,7.44,6.90,6.87,7.33,7.87,10.25,10.93,7.58,11.10,11.47,12.10,12.63,13.72,13.91,23.24
U.S. - OREGON,2.16,2.09,2.62,3.72,3.95,4.47,6.87,5.72,5.05,4.75,6.42,6.13,8.36,7.71,7.15,8.08,10.62,11.55,17.21,20.10,21.07,22.34,28.37,28.07,37.28
U.S. - PENNSYLVANIA,4.19,4.13,4.30,5.16,5.03,4.53,5.97,6.04,5.75,6.96,6.58,5.67,6.17,6.22,6.96,8.54,9.42,10.54,18.83,22.98,23.49,24.25,31.67,32.47,42.93
U.S. - RHODE ISLAND,5.10,4.34,5.30,5.34,6.17,4.99,5.84,5.49,6.56,6.84,7.58,8.35,9.06,10.85,10.30,20.70,21.23,15.77,24.32,28.67,30.67,31.86,34.11,36.70,52.82
U.S. - SOUTH CAROLINA,3.00,2.86,2.57,2.64,3.08,2.86,3.60,3.09,3.44,4.51,4.91,4.30,6.42,7.52,6.67,8.05,8.94,7.56,12.25,12.85,14.38,14.99,21.12,21.45,29.61
U.S. - SOUTH DAKOTA,0.99,0.75,0.57,0.64,0.85,0.53,1.02,2.64,2.94,5.73,5.59,5.22,5.66,5.15,6.08,4.95,8.01,8.02,18.04,19.17,22.95,18.83,26.89,26.44,34.92
U.S. - TENNESSEE,2.97,2.87,2.69,3.44,4.13,3.16,3.78,3.09,1.88,2.83,2.85,2.92,4.61,5.57,5.81,7.30,7.66,7.87,13.80,14.65,15.82,16.77,19.72,22.55,33.86
U.S. - TEXAS,2.24,2.14,2.06,2.59,3.60,3.12,3.61,3.53,3.78,4.30,5.69,5.48,6.81,7.37,7.58,8.15,9.71,8.15,10.44,11.58,14.03,14.42,15.80,18.70,28.98
U.S. - UTAH,5.91,9.35,11.28,10.34,10.09,11.60,12.47,7.50,10.34,9.12,11.32,9.04,12.50,13.13,14.03,11.97,15.18,15.93,18.90,18.17,22.80,24.77,27.98,24.83,33.88
U.S. - VERMONT,5.16,5.40,5.51,8.62,11.67,6.81,10.07,9.39,9.17,7.96,10.67,9.57,11.60,11.27,8.23,10.56,17.72,17.89,26.83,31.27,34.55,31.77,42.15,26.55,32.12
U.S. - VIRGINIA,4.68,4.52,4.08,4.29,5.57,4.79,5.75,5.26,5.25,6.54,6.34,7.03,8.15,9.78,10.32,14.08,13.28,13.89,20.06,22.56,22.50,22.82,29.95,31.01,44.50
U.S. - WASHINGTON,2.82,2.88,3.17,5.83,5.85,6.39,8.25,7.62,5.99,6.86,8.30,8.01,9.16,8.78,7.93,12.08,13.72,13.58,21.24,24.19,22.68,23.16,32.25,31.05,40.32
U.S. - WEST VIRGINIA,7.11,5.54,5.85,5.05,5.94,4.60,5.92,4.47,6.02,5.83,5.62,5.11,5.20,4.50,5.23,6.48,8.35,7.74,10.88,11.82,13.17,13.31,16.68,16.18,21.48
U.S. - WISCONSIN,4.92,4.74,4.48,4.16,4.86,4.56,5.51,4.64,6.62,6.72,7.46,6.44,7.99,8.24,9.00,8.95,9.90,8.87,12.71,12.57,16.72,16.84,19.62,19.41,33.79
U.S. - WYOMING,2.25,1.59,1.66,2.88,1.47,1.69,2.75,3.07,2.50,2.29,2.75,3.33,4.22,4.37,5.76,6.78,7.65,6.75,11.16,10.64,13.42,12.04,15.37,16.63,21.49
UKRAINE,0.13,0.11,0.05,0.06,0.11,0.29,0.16,0.38,0.41,0.70,0.82,1.00,1.28,1.42,3.81,6.12,8.24,4.92,6.33,6.28,6.68,8.06,14.97,20.91,24.38
UNITED ARAB EMIRATES,0.04,0.02,1.50,0.11,1.36,0.95,2.45,5.38,2.72,2.19,0.69,1.03,3.35,11.16,7.91,3.38,13.87,6.29,5.86,7.55,9.65,9.51,12.05,5.87,5.40
UNITED KINGDOM,1.84,2.16,1.93,1.85,1.81,2.22,2.58,2.00,2.06,2.26,2.25,2.27,2.49,2.90,3.50,4.10,4.43,5.01,6.50,7.57,10.85,11.47,18.88,22.70,27.18
UNITED STATES,4.12,3.78,3.78,4.36,5.26,4.70,6.03,5.37,5.26,5.88,6.20,5.60,6.96,7.14,7.45,8.72,10.11,9.79,14.84,16.92,18.48,19.50,23.61,24.15,33.69
URUGUAY,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.03,0.05,0.07,0.23
VENEZUELA,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.15,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.05,0.04,0.04,0.05,0.09,0.10
VIETNAM,0.04,0.04,0.03,0.04,0.09,0.08,0.14,0.26,0.05,0.04,0.42,0.22,0.15,0.18,0.10,0.14,0.10,0.08,0.09,0.07,0.03,0.05,0.05,0.06,0.11
