COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
INDIA,3351,3708,3963,3999,4237,4305,5902,15521,5132,4545,4679,4661,5101,5082,5199,5529,5750,5750,6932,7327,8012,9222,10171,10527,8976
INDONESIA,1908,2334,2615,3278,2952,2924,5010,5198,4635,4225,4225,4550,4671,3345,3769,4339,5658,6635,5060,8383,13816,16801,13652,11345,9698
IRAN,1976,2064,2062,2348,2181,2707,4524,3840,3019,2705,1500,2147,2288,2831,2498,3226,3135,3205,3406,4148,2941,3162,3193,4961,4587
IRELAND,6053,7624,6677,6520,7820,9438,12389,14820,13780,11531,12936,13732,14371,16185,18605,19814,23398,24136,25237,22401,26427,26962,30478,30915,31783
ISRAEL,7057,7594,6917,7316,7640,8203,8859,12618,8853,8772,10917,11213,12230,13697,15883,22215,22250,20920,23546,26132,30890,32246,37669,40081,47730
ITALY,5363,5718,6111,7007,7226,7594,9654,17274,9658,10213,10459,11504,12809,13991,14882,16561,16177,16400,17676,17371,19183,19407,22010,23252,18237
JAPAN,15029,15754,16678,17677,17796,19118,24134,28536,26245,23567,25774,27857,30697,30470,29923,31577,32948,33804,39543,40495,42172,44768,47367,48837,51968
JORDAN,5125,4096,5122,5444,6337,4971,8691,9196,5457,4647,4698,5504,6157,6745,6735,7320,8814,10502,11684,11402,12194,12486,13796,15257,13147
KAZAKHSTAN,1619,1686,1591,1928,1493,1495,2579,2239,1736,1713,2546,3097,2673,2973,3402,4357,6995,6343,7579,8133,9536,9676,13602,15905,15054
KENYA,1471,1949,2109,2475,2603,2333,4167,9401,1868,2911,2049,2771,3532,1952,1994,2293,2345,3090,2772,7244,7758,7499,3876,4488,4349
KUWAIT,2948,3916,6040,9806,9757,8209,9180,15054,6230,5896,6098,7138,10055,9803,8860,9010,12019,12315,13442,11902,13782,14131,31225,27318,36370
LATVIA,8798,7261,8504,9281,10335,11280,13208,13337,14059,17023,18948,19900,23023,21955,24517,29445,32107,29272,33468,33467,37523,39368,42349,44634,43139
LEBANON,1368,1577,1681,2763,4275,4449,6883,5146,3353,3724,2681,1659,2680,2764,2885,3467,3343,7233,7687,9126,12586,13328,15073,14222,11388
LITHUANIA,4020,4706,4510,4606,4628,4039,5545,5122,5072,5944,8208,9801,12077,13021,14585,19538,22309,23430,23263,23166,24615,24859,28955,30206,31215
LUXEMBOURG,7010,7251,7061,7214,6675,6735,9233,9032,7986,8533,10432,11952,12940,14059,15780,16363,15600,15843,16722,16597,18402,18919,21319,24965,23625
MACAO,6968,7752,8247,9013,9311,9436,13498,13279,14106,11711,10658,11306,12343,13034,14147,15254,19803,19962,20448,20385,23216,25522,29743,33117,34375
MACEDONIA,3660,4114,3908,4621,5460,5679,8030,14923,8126,8345,8645,9381,10339,10987,12156,13010,13580,13647,14822,14987,17165,17175,20997,21063,18612
MALAYSIA,4483,4646,4750,5046,5234,5495,9226,6678,5235,5329,5893,6562,8576,7646,8376,11387,12791,14074,15419,16353,18212,19496,25244,26607,24873
MALTA,5338,5629,5636,5620,5952,6383,7887,11454,9127,9715,9987,11089,11531,12396,13855,16451,15628,16491,21244,19394,21817,22435,24769,26165,24890
MAURITIUS,1468,1447,1469,1874,3665,4375,5379,5941,4550,4857,4570,4405,4914,5704,5855,6627,7366,7795,7842,8175,8563,8635,9565,10755,10627
MEXICO,3039,3264,3584,3675,3649,3538,5941,8601,4717,5154,5541,6356,7443,8149,9496,10866,12578,11458,13534,13753,14352,15134,17341,18901,17138
MOLDOVA REPUBLIC OF,2224,2466,3095,3757,4223,5626,6817,7988,7553,10354,11375,11919,12521,14309,13733,18300,17723,16604,16343,16817,19392,19652,26018,27795,24690
MOROCCO,9351,8703,8404,8550,8119,8295,10455,11687,8682,7708,8222,9596,10835,10451,10245,14599,9625,9674,9195,11643,12817,12955,16690,18250,12650
NEPAL,3397,6479,7498,7202,6254,3245,5611,3092,2326,2888,4546,4483,5384,5992,3033,3521,3205,4380,4913,8249,6294,6660,6326,7264,9597
